Question,Subject,Chapter,Years_Appeared,Frequency,Average_Marks,,Priority,Is_Augmented,Source_Question
"To summarize, state a C code to display HELLO on common anode seven segment LED interfaced with GPIO pins of MSP430. Show necessary diagram.",Embedded Systems,7. MSP430 (Case Study),Winter 2021,1,7,,Low,TRUE,Write a C code to display HELLO on common anode seven segment LED interfaced with GPIO pins of MSP430. Show necessary diagram.
"Briefly, mSP430 is having an orthogonal CPU architecture supported with RISC features. Justify the statement.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Summer 2025",2,4,,Medium,TRUE,MSP430 is having an orthogonal CPU architecture supported with RISC features. Justify the statement.
"In short, mSP430 is having an orthogonal CPU architecture supported with RISC features. Justify the statement.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Summer 2025",2,4,,Medium,TRUE,MSP430 is having an orthogonal CPU architecture supported with RISC features. Justify the statement.
"To summarize, mSP430 is having an orthogonal CPU architecture supported with RISC features. Justify the statement.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Summer 2025",2,4,,Medium,TRUE,MSP430 is having an orthogonal CPU architecture supported with RISC features. Justify the statement.
"In brief, mSP430 is having an orthogonal CPU architecture supported with RISC features. Justify the statement.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Summer 2025",2,4,,Medium,TRUE,MSP430 is having an orthogonal CPU architecture supported with RISC features. Justify the statement.
"Concisely, mSP430 is having an orthogonal CPU architecture supported with RISC features. Justify the statement.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Summer 2025",2,4,,Medium,TRUE,MSP430 is having an orthogonal CPU architecture supported with RISC features. Justify the statement.
"In brief, enlist features of ADC10 block in MSP430, and explain why CPU temperature and power supply is converted in digital.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,3,,Low,TRUE,"Enlist features of ADC10 block in MSP430, and explain why CPU temperature and power supply is converted in digital."
"Briefly, enumerate features of ADC10 block in MSP430, and explain why CPU temperature and power supply is converted in digital.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,3,,Low,TRUE,"Enlist features of ADC10 block in MSP430, and explain why CPU temperature and power supply is converted in digital."
"In short, enlist features of ADC10 block in MSP430, and explain why CPU temperature and power supply is converted in digital.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,3,,Low,TRUE,"Enlist features of ADC10 block in MSP430, and explain why CPU temperature and power supply is converted in digital."
"Concisely, enumerate features of ADC10 block in MSP430, and explain why CPU temperature and power supply is converted in digital.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,3,,Low,TRUE,"Enlist features of ADC10 block in MSP430, and explain why CPU temperature and power supply is converted in digital."
"To summarize, enlist features of ADC10 block in MSP430, and explain why CPU temperature and power supply is converted in digital.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,3,,Low,TRUE,"Enlist features of ADC10 block in MSP430, and explain why CPU temperature and power supply is converted in digital."
"Concisely, draw interfacing diagram to interface one switch at P1.3 and two LEDs at P1.0 and P1.6 with MSP430 board, and write C-program to control them.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,7,,Low,TRUE,"Sketch interfacing diagram to interface one switch at P1.3 and two LEDs at P1.0 and P1.6 with MSP430 board, and write C-program to control them."
"In brief, sketch interfacing diagram to interface one switch at P1.3 and two LEDs at P1.0 and P1.6 with MSP430 board, and write C-program to control them.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,7,,Low,TRUE,"Sketch interfacing diagram to interface one switch at P1.3 and two LEDs at P1.0 and P1.6 with MSP430 board, and write C-program to control them."
"In short, draw interfacing diagram to interface one switch at P1.3 and two LEDs at P1.0 and P1.6 with MSP430 board, and write C-program to control them.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,7,,Low,TRUE,"Sketch interfacing diagram to interface one switch at P1.3 and two LEDs at P1.0 and P1.6 with MSP430 board, and write C-program to control them."
"Draw interfacing diagram to interface one switch at P1.3 and two LEDs at P1.0 and P1.6 with MSP430 board, and write C-program to control them.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,7,,Low,TRUE,"Sketch interfacing diagram to interface one switch at P1.3 and two LEDs at P1.0 and P1.6 with MSP430 board, and write C-program to control them."
"Briefly, draw interfacing diagram to interface one switch at P1.3 and two LEDs at P1.0 and P1.6 with MSP430 board, and write C-program to control them.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,7,,Low,TRUE,"Sketch interfacing diagram to interface one switch at P1.3 and two LEDs at P1.0 and P1.6 with MSP430 board, and write C-program to control them."
"Briefly, write a MSP430 C-program to transmit “GTU EXAM” continuously using UART at 9600 baudrate. Assume SMCLK = 1MHz.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,7,,Low,TRUE,Write a MSP430 C-program to transmit “GTU EXAM” continuously using UART at 9600 baudrate. Assume SMCLK = 1MHz.
"Concisely, write a MSP430 C-program to transmit “GTU EXAM” continuously using UART at 9600 baudrate. Assume SMCLK = 1MHz.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,7,,Low,TRUE,Write a MSP430 C-program to transmit “GTU EXAM” continuously using UART at 9600 baudrate. Assume SMCLK = 1MHz.
"In short, state a MSP430 C-program to transmit “GTU EXAM” continuously using UART at 9600 baudrate. Assume SMCLK = 1MHz.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,7,,Low,TRUE,Write a MSP430 C-program to transmit “GTU EXAM” continuously using UART at 9600 baudrate. Assume SMCLK = 1MHz.
"Concisely, state a MSP430 C-program to transmit “GTU EXAM” continuously using UART at 9600 baudrate. Assume SMCLK = 1MHz.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,7,,Low,TRUE,Write a MSP430 C-program to transmit “GTU EXAM” continuously using UART at 9600 baudrate. Assume SMCLK = 1MHz.
"To summarize, write a MSP430 C-program to transmit “GTU EXAM” continuously using UART at 9600 baudrate. Assume SMCLK = 1MHz.",Embedded Systems,7. MSP430 (Case Study),Winter 2025,1,7,,Low,TRUE,Write a MSP430 C-program to transmit “GTU EXAM” continuously using UART at 9600 baudrate. Assume SMCLK = 1MHz.
"To summarize, enumerate the features of MSP430 microcontroller.",Embedded Systems,7. MSP430 (Case Study),Winter 2021,1,3,,Low,TRUE,List the features of MSP430 microcontroller.
"Concisely, enumerate the features of MSP430 microcontroller.",Embedded Systems,7. MSP430 (Case Study),Winter 2021,1,3,,Low,TRUE,List the features of MSP430 microcontroller.
"In brief, enlist the features of MSP430 microcontroller.",Embedded Systems,7. MSP430 (Case Study),Winter 2021,1,3,,Low,TRUE,List the features of MSP430 microcontroller.
"In brief, enumerate the features of MSP430 microcontroller.",Embedded Systems,7. MSP430 (Case Study),Winter 2021,1,3,,Low,TRUE,List the features of MSP430 microcontroller.
"Concisely, list the features of MSP430 microcontroller.",Embedded Systems,7. MSP430 (Case Study),Winter 2021,1,3,,Low,TRUE,List the features of MSP430 microcontroller.
"Briefly, what are the key features of the MSP430 architecture?",Embedded Systems,7. MSP430 (Case Study),Winter 2024,1,3,,Low,TRUE,What are the key features of the MSP430 architecture?
"In brief, what are the key features of the MSP430 architecture?",Embedded Systems,7. MSP430 (Case Study),Winter 2024,1,3,,Low,TRUE,What are the key features of the MSP430 architecture?
"In short, what are the key features of the MSP430 architecture?",Embedded Systems,7. MSP430 (Case Study),Winter 2024,1,3,,Low,TRUE,What are the key features of the MSP430 architecture?
"Concisely, what are the key features of the MSP430 architecture?",Embedded Systems,7. MSP430 (Case Study),Winter 2024,1,3,,Low,TRUE,What are the key features of the MSP430 architecture?
"To summarize, what are the key features of the MSP430 architecture?",Embedded Systems,7. MSP430 (Case Study),Winter 2024,1,3,,Low,TRUE,What are the key features of the MSP430 architecture?
